order_id,customer_id,product_id,quantity,order_date,status
1,118,56,3,2025-01-20T14:23:35.202116,completed
2,118,120,5,2025-01-20T14:23:35.202116,cancelled
3,118,180,1,2025-01-20T14:23:35.202116,completed
4,118,66,2,2025-01-20T14:23:35.202116,cancelled
5,118,197,1,2025-01-20T14:23:35.202116,completed
6,952,148,4,2025-02-12T04:35:15.744840,cancelled
7,952,174,2,2025-02-12T04:35:15.744840,completed
8,952,97,2,2025-02-12T04:35:15.744840,completed
9,792,176,5,2024-04-01T17:33:40.597907,completed
10,792,154,3,2024-04-01T17:33:40.597907,completed
11,792,31,3,2024-04-01T17:33:40.597907,completed
12,664,4,1,2024-02-20T01:39:12.696055,completed
13,664,108,3,2024-02-20T01:39:12.696055,completed
14,664,126,4,2024-02-20T01:39:12.696055,completed
15,446,188,3,2024-10-08T16:56:05.015294,completed
16,446,134,5,2024-10-08T16:56:05.015294,completed
17,477,188,2,2023-12-26T08:36:43.632037,pending
18,477,152,1,2023-12-26T08:36:43.632037,completed
19,477,69,4,2023-12-26T08:36:43.632037,completed
20,477,83,4,2023-12-26T08:36:43.632037,completed
21,685,87,2,2024-10-21T19:04:28.856444,completed
22,685,8,3,2024-10-21T19:04:28.856444,completed
23,685,127,3,2024-10-21T19:04:28.856444,completed
24,685,84,5,2024-10-21T19:04:28.856444,completed
25,283,3,4,2024-09-06T05:42:12.370110,completed
26,283,133,2,2024-09-06T05:42:12.370110,completed
27,283,49,4,2024-09-06T05:42:12.370110,completed
28,283,22,1,2024-09-06T05:42:12.370110,completed
29,283,62,2,2024-09-06T05:42:12.370110,completed
30,250,170,4,2024-08-09T17:14:35.137953,completed
31,250,149,3,2024-08-09T17:14:35.137953,completed
32,250,95,5,2024-08-09T17:14:35.137953,completed
33,720,70,1,2024-11-13T09:13:05.322630,completed
34,720,79,3,2024-11-13T09:13:05.322630,completed
35,720,65,5,2024-11-13T09:13:05.322630,cancelled
36,720,60,2,2024-11-13T09:13:05.322630,completed
37,757,71,5,2024-12-24T23:37:03.779443,completed
38,757,186,1,2024-12-24T23:37:03.779443,pending
39,757,151,3,2024-12-24T23:37:03.779443,completed
40,757,195,2,2024-12-24T23:37:03.779443,completed
41,726,33,3,2025-11-14T16:39:20.750633,completed
42,726,71,2,2025-11-14T16:39:20.750633,completed
43,726,12,4,2025-11-14T16:39:20.750633,completed
44,726,14,1,2025-11-14T16:39:20.750633,completed
45,726,142,4,2025-11-14T16:39:20.750633,completed
46,349,14,4,2024-08-18T09:39:32.991187,completed
47,349,65,1,2024-08-18T09:39:32.991187,completed
48,76,162,3,2025-04-20T02:07:02.360942,completed
49,76,176,2,2025-04-20T02:07:02.360942,completed
50,76,14,4,2025-04-20T02:07:02.360942,completed
51,76,39,5,2025-04-20T02:07:02.360942,completed
52,76,145,5,2025-04-20T02:07:02.360942,completed
53,931,77,5,2025-01-05T19:07:17.688848,completed
54,931,151,5,2025-01-05T19:07:17.688848,cancelled
55,931,110,1,2025-01-05T19:07:17.688848,cancelled
56,931,79,2,2025-01-05T19:07:17.688848,completed
57,271,41,2,2024-10-07T02:44:09.045002,completed
58,77,1,4,2024-08-16T09:10:19.696154,completed
59,77,105,4,2024-08-16T09:10:19.696154,completed
60,238,181,4,2025-06-27T02:59:28.937708,completed
61,238,73,2,2025-06-27T02:59:28.937708,cancelled
62,238,180,5,2025-06-27T02:59:28.937708,completed
63,957,109,5,2025-09-29T22:54:22.857347,completed
64,957,30,2,2025-09-29T22:54:22.857347,cancelled
65,847,19,2,2024-09-03T02:57:23.606728,completed
66,847,16,5,2024-09-03T02:57:23.606728,completed
67,583,113,3,2025-12-13T23:55:45.232665,completed
68,583,32,3,2025-12-13T23:55:45.232665,completed
69,583,120,4,2025-12-13T23:55:45.232665,completed
70,613,111,3,2024-04-24T16:44:06.307625,completed
71,27,59,5,2024-11-28T11:05:54.522676,completed
72,22,148,2,2024-07-08T12:49:35.674565,completed
73,22,11,4,2024-07-08T12:49:35.674565,cancelled
74,22,196,2,2024-07-08T12:49:35.674565,refunded
75,447,24,3,2023-12-25T22:47:13.228547,completed
76,447,121,1,2023-12-25T22:47:13.228547,pending
77,447,90,3,2023-12-25T22:47:13.228547,completed
78,447,105,4,2023-12-25T22:47:13.228547,completed
79,968,195,1,2024-09-28T05:09:36.071916,completed
80,968,141,3,2024-09-28T05:09:36.071916,completed
81,968,10,4,2024-09-28T05:09:36.071916,pending
82,968,117,1,2024-09-28T05:09:36.071916,completed
83,556,106,3,2024-11-11T00:58:52.410478,completed
84,556,14,4,2024-11-11T00:58:52.410478,completed
85,556,49,1,2024-11-11T00:58:52.410478,completed
86,556,133,5,2024-11-11T00:58:52.410478,completed
87,295,179,5,2025-01-04T12:59:05.684231,completed
88,295,125,2,2025-01-04T12:59:05.684231,completed
89,295,32,1,2025-01-04T12:59:05.684231,completed
90,295,8,1,2025-01-04T12:59:05.684231,completed
91,862,119,1,2025-08-03T02:53:31.021186,completed
92,158,184,3,2025-08-02T10:26:28.175493,completed
93,158,75,4,2025-08-02T10:26:28.175493,refunded
94,158,131,2,2025-08-02T10:26:28.175493,completed
95,158,181,2,2025-08-02T10:26:28.175493,completed
96,944,131,4,2025-09-06T02:49:42.851691,completed
97,944,192,5,2025-09-06T02:49:42.851691,completed
98,944,35,1,2025-09-06T02:49:42.851691,completed
99,944,18,3,2025-09-06T02:49:42.851691,pending
100,944,71,5,2025-09-06T02:49:42.851691,refunded
101,502,115,4,2024-07-20T15:22:33.492728,completed
102,502,138,5,2024-07-20T15:22:33.492728,completed
103,387,83,5,2024-01-31T22:36:18.242322,completed
104,387,49,4,2024-01-31T22:36:18.242322,completed
105,387,179,4,2024-01-31T22:36:18.242322,completed
106,387,62,4,2024-01-31T22:36:18.242322,completed
107,680,127,2,2024-02-11T00:33:44.758819,completed
108,680,10,5,2024-02-11T00:33:44.758819,completed
109,103,26,2,2024-09-25T10:32:05.690746,completed
110,103,135,2,2024-09-25T10:32:05.690746,completed
111,103,117,3,2024-09-25T10:32:05.690746,completed
112,103,4,4,2024-09-25T10:32:05.690746,completed
113,873,173,3,2024-06-24T11:27:52.345408,completed
114,873,137,4,2024-06-24T11:27:52.345408,pending
115,873,98,1,2024-06-24T11:27:52.345408,completed
116,241,59,4,2024-03-07T18:01:37.869603,refunded
117,241,192,1,2024-03-07T18:01:37.869603,completed
118,241,24,3,2024-03-07T18:01:37.869603,cancelled
119,48,15,3,2024-04-26T20:55:47.556462,completed
120,48,76,2,2024-04-26T20:55:47.556462,completed
121,48,92,5,2024-04-26T20:55:47.556462,completed
122,185,45,5,2024-06-25T10:50:54.002320,pending
123,185,21,5,2024-06-25T10:50:54.002320,completed
124,510,37,4,2024-07-28T22:38:49.373100,completed
125,510,60,1,2024-07-28T22:38:49.373100,pending
126,510,119,4,2024-07-28T22:38:49.373100,cancelled
127,510,164,5,2024-07-28T22:38:49.373100,completed
128,510,66,4,2024-07-28T22:38:49.373100,cancelled
129,602,164,3,2024-02-09T03:19:50.634262,completed
130,602,109,3,2024-02-09T03:19:50.634262,completed
131,602,177,4,2024-02-09T03:19:50.634262,pending
132,110,98,3,2024-12-29T03:58:51.802552,completed
133,110,147,3,2024-12-29T03:58:51.802552,completed
134,850,71,1,2025-03-11T17:23:24.713933,cancelled
135,850,3,4,2025-03-11T17:23:24.713933,pending
136,850,145,3,2025-03-11T17:23:24.713933,completed
137,850,176,2,2025-03-11T17:23:24.713933,completed
138,361,163,5,2025-11-01T10:48:41.227757,completed
139,361,49,2,2025-11-01T10:48:41.227757,completed
