product_id,product_name,category,price,cost,created_at
1,Without Tax,Toys,558.105,372.07,2024-01-27T19:26:26.260387
2,Economic Analysis,Clothing,554.325,369.55,2024-10-05T09:08:10.368155
3,Edge Leader,Toys,743.25,274.96,2025-08-17T16:23:18.935776
4,Hospital Another,Books,427.69,19.75,2024-03-24T08:55:55.681141
5,Nice Very,Clothing,454.5,303.0,2025-04-02T05:36:23.635413
6,Radio Property,Books,490.03499999999997,326.69,2024-10-29T06:33:25.519744
7,Third Across,Books,425.31,227.36,2025-03-20T15:35:50.634121
8,People Camera,Home & Garden,811.33,8.22,2023-12-28T22:40:19.972232
9,Direction Peace,Clothing,701.15,173.42,2024-01-21T22:37:38.918861
10,By Community,Clothing,574.395,382.93,2024-02-01T19:51:17.234716
11,Sit Economic,Electronics,101.81,52.87,2025-03-31T18:57:20.231203
12,Character His,Home & Garden,607.68,404.53,2024-03-28T17:56:37.627069
13,Political Everybody,Toys,464.82,66.79,2024-08-24T13:17:00.346332
14,Risk Decision,Sports,225.18,150.12,2025-07-03T12:12:09.024011
15,Magazine Sometimes,Toys,622.32,431.54,2024-09-16T23:21:31.162294
16,Manage Safe,Books,200.36,39.43,2025-03-01T08:58:10.436566
17,During Toward,Toys,235.61,148.25,2024-03-11T20:14:12.428055
18,Range Thank,Electronics,856.75,433.91,2024-05-05T07:21:44.738528
19,Including Analysis,Sports,479.49,319.66,2024-01-26T03:12:34.795114
20,Sense None,Home & Garden,271.29,180.86,2024-10-30T07:56:45.299999
21,Cell Travel,Toys,702.96,468.64,2025-11-26T07:44:44.261813
22,Happy Whose,Toys,478.96500000000003,319.31,2025-08-07T02:03:06.699254
23,Mind World,Books,731.83,85.88,2024-07-23T15:19:27.121599
24,Fund Even,Sports,694.605,463.07,2025-08-04T14:19:01.106107
25,Professor Performance,Toys,561.37,343.88,2025-11-15T05:27:51.779546
26,Animal From,Electronics,236.75,20.89,2024-07-16T17:43:34.652274
27,Onto Point,Home & Garden,407.14,37.76,2024-07-13T14:05:38.679885
28,Feeling Wish,Books,877.59,160.77,2024-08-17T13:10:44.637725
29,My Believe,Toys,504.23,442.92,2024-03-20T18:51:11.651242
30,Admit Professor,Toys,464.25,136.12,2025-02-02T18:53:45.227752
31,Serious Official,Clothing,747.53,271.79,2025-02-27T18:10:30.926194
32,Happen Professional,Toys,588.73,449.42,2024-09-01T21:34:20.297181
33,Development Federal,Sports,748.02,498.68,2025-09-28T09:04:54.388949
34,Through Fear,Clothing,514.42,50.0,2025-06-29T15:13:27.274550
35,Information Into,Electronics,862.48,80.66,2024-04-13T13:24:18.892471
36,Computer Picture,Clothing,794.15,213.97,2025-07-23T02:12:32.741835
37,Hospital Church,Electronics,390.91,299.96,2024-03-20T01:11:09.342690
38,Practice Miss,Sports,533.81,485.68,2024-01-28T04:11:28.767065
39,Scene Involve,Electronics,683.47,61.7,2024-09-23T10:39:53.571291
40,Easy Task,Books,753.36,385.46,2024-10-14T06:21:23.180171
41,Talk Kitchen,Home & Garden,330.315,220.21,2025-08-25T19:21:46.082821
42,Force Number,Sports,543.66,362.44,2024-10-24T23:30:50.896986
43,Line Action,Toys,270.75,252.79,2024-07-24T09:51:13.283787
44,Treat Push,Clothing,512.59,57.67,2024-04-11T15:10:36.217935
45,Know Week,Toys,481.91999999999996,321.28,2025-10-24T02:01:19.464979
46,Admit Catch,Books,206.91,190.09,2024-05-12T15:51:29.601998
47,Successful At,Clothing,543.98,390.42,2024-09-13T06:44:16.991181
48,His Agreement,Books,919.3,301.48,2024-02-10T19:33:40.797199
49,Decide Responsibility,Sports,697.3499999999999,464.9,2023-12-24T03:17:54.969156
50,Let Drug,Home & Garden,247.05,124.23,2025-04-30T05:24:18.949458
51,Prove Believe,Books,947.47,47.4,2024-10-25T01:19:27.554403
52,Table Between,Sports,817.85,489.1,2024-08-07T19:14:05.666069
53,Arm Hand,Books,768.17,68.55,2025-01-08T14:03:11.327945
54,Owner Assume,Sports,947.37,86.74,2024-09-18T17:17:53.128629
55,Country Especially,Books,873.7,214.45,2024-07-28T17:06:13.403722
56,Determine Else,Clothing,929.61,378.86,2025-02-24T11:04:02.617293
57,Food Letter,Toys,209.13,159.3,2025-02-07T05:58:28.953520
58,Arrive Security,Toys,653.37,221.86,2024-09-20T03:35:53.393774
59,Everything Sign,Books,456.96,127.71,2025-06-17T09:32:44.360838
60,Different Bill,Electronics,344.69,296.21,2025-04-30T16:15:04.952264
61,Front Run,Clothing,592.55,8.56,2025-11-05T20:10:55.902272
62,Whose Manage,Toys,634.78,118.33,2025-02-19T04:44:10.790548
63,From Several,Electronics,861.03,40.07,2024-11-21T03:17:38.607770
64,Page Worker,Clothing,285.68,245.28,2025-06-10T02:16:12.896402
65,Son Question,Books,702.12,468.08,2025-11-01T01:07:12.080585
66,Public Parent,Books,580.44,125.28,2025-01-12T04:58:13.188253
67,Learn Six,Sports,809.41,99.25,2025-11-04T04:55:03.232557
68,Throw Serious,Electronics,662.38,180.38,2024-10-11T12:12:33.160512
69,Difficult Laugh,Sports,472.34,365.89,2024-08-18T01:48:09.557617
70,Value Candidate,Toys,656.91,324.86,2025-01-28T10:22:33.949793
71,Day Upon,Electronics,408.59,172.95,2024-08-12T08:33:23.297889
72,Policy Miss,Electronics,256.16,99.15,2024-06-30T16:15:57.504838
73,Religious Operation,Sports,148.77,95.83,2024-11-20T23:16:49.529305
74,Officer Account,Sports,693.03,462.02,2024-09-19T07:56:52.901588
75,Management Appear,Sports,809.93,428.7,2025-07-06T20:55:11.583369
76,Eight Skill,Electronics,749.46,499.64,2025-05-10T22:39:55.243540
77,Throw Matter,Electronics,969.3,463.55,2025-07-28T06:27:08.786600
78,Behavior Occur,Clothing,368.085,245.39,2024-07-01T18:50:40.528870
79,Total According,Clothing,865.99,451.71,2025-07-31T11:58:24.678370
80,Black Organization,Clothing,739.095,492.73,2024-05-04T12:42:10.689737
81,Agree Player,Home & Garden,927.24,393.64,2024-09-08T19:56:26.173755
82,Middle Effort,Home & Garden,718.3050000000001,478.87,2024-05-27T11:16:55.971474
83,To Technology,Books,665.24,245.9,2024-04-03T21:13:21.257253
84,Seat Pm,Clothing,726.765,484.51,2025-05-14T06:13:21.582355
85,Difference Stop,Books,738.37,35.17,2025-05-02T13:53:04.891642
86,Develop Others,Home & Garden,441.255,294.17,2025-12-19T04:11:17.706867
87,Interview Figure,Books,920.18,267.91,2024-06-27T04:41:44.504832
88,Cultural Trouble,Electronics,961.16,44.66,2025-02-02T12:04:47.627298
89,Cell Fund,Clothing,77.83,38.64,2024-06-13T07:32:33.439277
90,Common Team,Clothing,706.635,471.09,2024-10-04T07:49:44.629812
91,Summer War,Books,448.93500000000006,299.29,2025-11-24T05:39:06.610813
92,However Prepare,Books,495.59999999999997,330.4,2025-09-08T18:23:03.392082
93,Read Culture,Books,527.54,467.68,2024-06-26T14:51:50.569612
94,Leg Material,Clothing,673.02,160.52,2025-10-21T20:23:11.937898
95,Pretty Worker,Home & Garden,401.82,337.49,2025-05-21T22:24:06.414644
96,Door Set,Home & Garden,697.29,464.86,2025-01-14T16:35:02.312394
97,Ground Reach,Electronics,468.70500000000004,312.47,2024-04-01T17:14:24.259368
98,Century Edge,Books,996.13,41.26,2025-05-05T01:27:33.689708
99,Age Parent,Clothing,510.82,70.57,2024-02-27T13:17:04.673242
100,Risk A,Home & Garden,882.05,440.24,2024-02-06T14:47:52.280134
101,Practice Current,Home & Garden,292.13,221.9,2024-06-04T11:03:50.450571
102,Success Continue,Books,706.49,307.78,2025-01-01T01:35:29.466493
103,Finally Certainly,Toys,533.64,335.59,2024-05-24T02:42:24.558379
104,Finish Miss,Books,500.07,333.38,2025-04-15T22:42:14.412344
105,Point Perhaps,Clothing,668.115,445.41,2025-01-07T15:28:17.474857
106,Visit Political,Toys,557.68,139.81,2023-12-27T14:07:49.360521
107,Remember Meeting,Books,218.51,174.73,2024-08-19T00:37:23.996606
108,Full Training,Toys,637.89,135.67,2024-02-20T09:10:41.612893
109,Thousand Exist,Sports,681.8100000000001,454.54,2025-05-08T00:09:51.251040
110,Card Watch,Electronics,322.005,214.67,2024-09-30T02:30:49.428628
111,Who With,Home & Garden,255.16500000000002,170.11,2024-11-08T05:31:25.399536
112,Least Outside,Clothing,640.73,134.67,2025-05-07T18:36:01.018040
113,Prevent Available,Toys,447.41,354.31,2024-05-16T07:30:03.228833
114,Do Capital,Books,63.375,42.25,2024-01-11T11:05:57.305183
115,Sense There,Toys,904.88,275.07,2024-10-03T06:39:50.178808
116,Feel Else,Home & Garden,586.67,78.31,2024-05-24T20:41:55.691421
117,Clear Create,Clothing,278.25,185.5,2025-07-07T22:31:01.753524
118,Lay Process,Electronics,899.93,108.99,2025-06-02T07:51:07.571443
119,City White,Clothing,670.25,180.07,2024-03-23T15:40:07.239824
120,Listen Manage,Books,885.28,206.16,2024-11-25T23:28:36.824249
121,Democrat Wrong,Books,751.97,463.25,2024-02-14T01:09:18.196832
122,Various She,Clothing,865.95,488.22,2024-12-24T17:41:13.709765
123,Along Information,Clothing,882.59,17.27,2024-10-09T11:00:16.995883
124,Fire Show,Toys,925.23,392.28,2024-12-04T05:14:13.811795
125,Wish Suffer,Sports,804.2,432.71,2024-11-08T12:15:37.796792
126,Despite Open,Clothing,592.125,394.75,2024-09-10T00:26:17.808345
127,Economy Human,Electronics,388.71,24.17,2025-07-25T13:15:48.287152
128,Government Possible,Sports,613.8149999999999,409.21,2024-08-05T17:25:12.777349
129,Price Most,Sports,616.755,411.17,2025-07-24T12:20:28.658244
130,Central Professor,Clothing,497.58000000000004,331.72,2024-07-18T01:52:41.760054
131,Should Than,Sports,649.2750000000001,432.85,2024-01-17T09:47:21.764807
